created_at,text
2021-12-02 19:10:03,"RT @ETimesTV: @swwapniljoshi buys a fancy electric car; take a look
.
.
#swwapniljoshi #car #newcar #electriccar #luxurious #swwapnil_joshi…"
2021-12-02 19:04:01,"#UK will be the 1st country to set up #electricvehicle charging points in building new homes. Starting in 2022,  up… https://t.co/cP6rLGCu6u"
2021-12-02 19:00:06,"#Austin is now officially home to #Tesla's HQ, after announcing its departure from #PaloAlto in a Dec. 1 SEC filing… https://t.co/ImNxOof5jn"
2021-12-02 18:47:01,"RT @ETimesTV: @swwapniljoshi buys a fancy electric car; take a look
.
.
#swwapniljoshi #car #newcar #electriccar #luxurious #swwapnil_joshi…"
2021-12-02 18:12:16,"RT @VinFastEurope: The vision of VinFast casts a new light on the smart, electric vehicle 
revolution. It’s all driven by very ambitious pl…"
2021-12-02 17:28:48,"RT @ETimesTV: @swwapniljoshi buys a fancy electric car; take a look
.
.
#swwapniljoshi #car #newcar #electriccar #luxurious #swwapnil_joshi…"
2021-12-02 17:17:50,RT @ElizzaaaaT: The way people say get yerself an #ElectricCar like you were going to Tesco to buy a Turkey! 🙄🙄
2021-12-02 17:09:17,"Modeled after the Tesla Cybertruck, Tesla announced an electric ATV for children, Cyberquad for Kids, on Thursday a… https://t.co/5phsXvaGsE"
2021-12-02 16:52:31,RT @ElizzaaaaT: The way people say get yerself an #ElectricCar like you were going to Tesco to buy a Turkey! 🙄🙄
2021-12-02 16:28:15,"""I drive a Mokka-e. I love it. I save £70 a week on fuel."" Russ. 
""I have the Mokka-e and do 100-mile-commute each… https://t.co/PVC3S2csi5"
2021-12-02 16:23:28,"RT @ETimesTV: Swwapnil Joshi buys a new luxurious electric car; see pic

#swwapniljoshi #car #newcar #electriccar #luxurious #swwapnil_josh…"
2021-12-02 15:42:56,RT @ElizzaaaaT: The way people say get yerself an #ElectricCar like you were going to Tesco to buy a Turkey! 🙄🙄
2021-12-02 15:28:55,"RT @VinFastEurope: The vision of VinFast casts a new light on the smart, electric vehicle 
revolution. It’s all driven by very ambitious pl…"
2021-12-02 15:23:33,"RT @VinFastEurope: The vision of VinFast casts a new light on the smart, electric vehicle 
revolution. It’s all driven by very ambitious pl…"
2021-12-02 15:14:00,"RT @ETimesTV: Swwapnil Joshi buys a new luxurious electric car; see pic

#swwapniljoshi #car #newcar #electriccar #luxurious #swwapnil_josh…"
2021-12-02 15:10:32,The way people say get yerself an #ElectricCar like you were going to Tesco to buy a Turkey! 🙄🙄
2021-12-02 15:00:14,"Get on board with zero-emission driving
with the Peugeot electric vehicle range ⚡ 🚗
#Peugeot #Desira #Peugeot308 #2… https://t.co/dqgulqTJpi"
2021-12-02 14:58:46,"RT @ETimesTV: Swwapnil Joshi buys a new luxurious electric car; see pic

#swwapniljoshi #car #newcar #electriccar #luxurious #swwapnil_josh…"
2021-12-02 14:58:01,"Electric vehicles! ⚡️🚙

Over recent months and years, the popularity of EV has rocketed.

But what is the reality o… https://t.co/a54CZB6J6Z"
2021-12-02 14:49:40,"RT @ETimesTV: Swwapnil Joshi buys a new luxurious electric car; see pic

#swwapniljoshi #car #newcar #electriccar #luxurious #swwapnil_josh…"
2021-12-02 14:49:23,"RT @ETimesTV: Swwapnil Joshi buys a new luxurious electric car; see pic

#swwapniljoshi #car #newcar #electriccar #luxurious #swwapnil_josh…"
